Sorrento Harbor;ITRRO;14.36551956036558 40.62293319691949,14.36200050213804 40.63160796601684,14.38513187399215 40.63630858948622,14.39046768091933 40.62764528883685,14.36551956036558 40.62293319691949
BAYWAY;US8BY;-74.21789190130377 40.6195602995403,-74.20733472662114 40.6364319423123,-74.19653965762323 40.63073477174527,-74.19689199111026 40.61932141553106,-74.21789190130377 40.6195602995403
Dong Guan;CNDGG;113.6094220882453 22.919427035693488,113.5975774532356 22.926857968893813,113.6148951636423 22.951583191210233,113.62489306984308 22.947698251148523,113.6094220882453 22.919427035693488
Mai-Liao;TWMLI;120.1972949838888 23.8274792640885,120.2349044157815 23.8163439373747,120.1935496142757 23.68879068070474,120.1401785582926 23.70450947418645,120.1504782409099 23.78821582842221,120.1972949838888 23.8274792640885
Port of Bugo;PHBUG;124.71211466585837 8.529538655332956,124.76625810239238 8.529538655332956,124.76625810239238 8.483220113319533,124.71786178863881 8.483220113319533,124.71211466585837 8.529538655332956
Tricase Porto;ITTSE;18.386528626538116 39.92733379782685,18.386528626538116 39.938868120141535,18.40438427275228 39.938868120141535,18.40438427275228 39.92733379782685,18.386528626538116 39.92733379782685
Vieux Port;FRSRL;6.763710668985633 43.42281706300998,6.763710668985633 43.42396978405,6.765595429741533 43.42396978405,6.765595429741533 43.42281706300998,6.763710668985633 43.42281706300998
Port of St Mary's;GBHWZ;-6.324181660539005 49.90900931323727,-6.324181660539005 49.92052355216259,-6.302931396808032 49.92052355216259,-6.302931396808032 49.90900931323727,-6.324181660539005 49.90900931323727
MUUGA-PORT OF TALLIN;EEMUG;24.89404135682314 59.51328392946063,24.89404135682314 59.52880466992796,25.02876702021872 59.52880466992796,25.02876702021872 59.47132024949002,24.92181339348307 59.47132024949002,24.89404135682314 59.51328392946063
Port of Aqaba;JOAQB;34.95950211165011 29.45123400283511,34.98101701121315 29.54132939356377,34.99367133834252 29.55677698306145,35.02153573767021 29.5357980123748,35.02153573767021 29.48958133603284,34.98498938693886 29.44613615265071,34.95950211165011 29.45123400283511
Port of Ueckermunde;DEUCK;14.032493822526583 53.73004619356922,14.032493822526583 53.74730642362651,14.067188475242636 53.74730642362651,14.067188475242636 53.73004619356922,14.032493822526583 53.73004619356922
Port of Vila do Conde;BRVDC;-48.75631961566848 -1.544725234511021,-48.75631961566848 -1.527352205102089,-48.735746341663514 -1.527352205102089,-48.735746341663514 -1.544725234511021,-48.75631961566848 -1.544725234511021
Port Everglades;USPEF;-80.14611168002502 26.05681824085909,-80.12817803301391 26.10008680061947,-80.10437432906134 26.10008680061947,-80.11175873560164 26.05475660089917,-80.14611168002502 26.05681824085909
Port of Incheon;KRICH;126.4908659962382 37.2415108459287,126.4016020802226 37.43695116682667,126.5849364098537 37.57585434650156,126.6410124526734 37.57576364390637,126.8547881153788 37.25462889066873,126.4908659962382 37.2415108459287
Port of Borg;NOGFR;10.924404179684869 59.176643524518695,10.924404179684869 59.19963717929146,10.97780455689731 59.19963717929146,10.97780455689731 59.176643524518695,10.924404179684869 59.176643524518695
Skagen Harbour;DKSKA;10.598519678069438 57.725452963287324,10.609591836882911 57.719402686830676,10.59131386050183 57.70980314626459,10.573070878936138 57.71472678037861,10.598519678069438 57.725452963287324
GUANGZHOU;CNGZP;113.3752640252569 23.07366778488277,113.3790339553539 23.12220973835026,113.4859035836129 23.09551809185412,113.4793148062332 23.08355558510773,113.4509209540277 23.09118396872921,113.3752640252569 23.07366778488277
Port of Bagnoli;ITBLN;14.164862606395511 40.802816826861694,14.164862606395511 40.80397007594739,14.166671296793844 40.80397007594739,14.166671296793844 40.802816826861694,14.164862606395511 40.802816826861694
HAZIRA;INHZA;72.6166806161805 21.08401125058779,72.61192019639671 21.09446943559618,72.62812471277951 21.10608109073704,72.65647744846005 21.11878542961952,72.6632580728497 21.11801145795933,72.66305779775081 21.063321271988,72.62835358981332 21.07101026839193,72.6166806161805 21.08401125058779
Port of Shelton;USSQR;-123.10343892379896 47.201704454237046,-123.10343892379896 47.21898404301145,-123.07321912639166 47.21898404301145,-123.07321912639166 47.201704454237046,-123.10343892379896 47.201704454237046
Port of Barrow;GBBIF;-3.224449722763936 54.06483816836823,-3.26152859066319 54.10860463192276,-3.197899436780105 54.11665477847524,-3.145714378186355 54.06483816836823,-3.224449722763936 54.06483816836823
Port of Kure;JPKUE;132.5161182841349 34.22863797528343,132.5114262099906 34.26732853238344,132.5761997660685 34.25664074496959,132.5687611203704 34.20469577852569,132.5340855117485 34.1954199141687,132.5161182841349 34.22863797528343
Majishan;CNMAJ;122.4093383666469 30.68064238647945,122.427811473549 30.67656561522205,122.4278504860696 30.66792497776763,122.4134348332292 30.66472019520444,122.4027059971696 30.67133099080212,122.4093383666469 30.68064238647945
Port of Hafnarfjordur;ISHAF;-22.057105782574506 64.04748874500532,-21.973506691998335 64.07474524145158,-21.94792914683232 64.0643113301675,-22.051784279888963 64.03847246904652,-22.057105782574506 64.04748874500532
SAKAI-SENBOKU;JPSBK;135.3606673612542 34.51321321110491,135.3939696683831 34.5907849776722,135.4732103427146 34.58082611774205,135.4645605929439 34.48213595471536,135.3606673612542 34.51321321110491
Port of Daesan;KRTSN;126.331679321773 36.98642201372634,126.3209218772302 37.01146501884698,126.3681859807169 37.03787006126466,126.4365072061249 37.02937393933988,126.4383382643048 37.0014122408114,126.3769979252887 36.99994991419466,126.331679321773 36.98642201372634
Port of Svolvaer;NOSOS;14.52227360176936 68.226728208201,14.53338915132287 68.24181074205438,14.59289842692039 68.2444195539471,14.57757612283862 68.226728208201,14.52227360176936 68.226728208201
Panama Canal;PAPCN;-79.92407897793183 9.311094556054542,-79.91446594082242 9.310925156377209,-79.65476124684237 9.12603537905639,-79.5750674525918 8.977024072691421,-79.5872983256997 8.968927554642605,-79.9859429089547 9.228478654017039,-79.92407897793183 9.311094556054542
Khoms;LYKHO;14.248132209624748 32.67167328262292,14.231395225371816 32.67998168830496,14.243903813072873 32.693818170728576,14.260347697528477 32.685273199402815,14.248132209624748 32.67167328262292
Port of Doha;QADOH;51.52480745697246 25.28297065812162,51.52480745697246 25.34077635772604,51.60059329646128 25.34077635772604,51.60059329646128 25.28297065812162,51.52480745697246 25.28297065812162
MINA SAQR;AEMSA;56.03980584960026 25.94245506488984,56.0467867490888 25.98599385428119,56.06281969407348 25.98251245471505,56.06635614606146 25.93547330961525,56.03980584960026 25.94245506488984
Humber Sea Terminal;GBKGH;-0.232053505611768 53.66488510357797,-0.237825619411816 53.66883891638014,-0.233834492397656 53.670466101346875,-0.228384243679395 53.66622003362619,-0.232053505611768 53.66488510357797
Port of Izmit;TRIZT;29.8394491042563 40.77162048932809,29.96011809697557 40.77083168797037,29.94775847783495 40.70788001178008,29.78169817296096 40.7100816550541,29.68831438389846 40.78473018206296,29.8394491042563 40.77162048932809
HOMER;USHOM;-151.47465278757204 59.57939293715167,-151.47465278757204 59.60855437236045,-151.36654359546054 59.60704210784619,-151.36654359546054 59.57939293715167,-151.47465278757204 59.57939293715167
King Fahad Industrial Port in Yanbu;SAYBI;38.20676662409231 23.94622882738319,38.20446110023157 23.9705456836831,38.2437310397231 23.96965499980217,38.24121334127402 23.92970245465652,38.20676662409231 23.94622882738319
Port of Veracruz;MXVER;-96.11949662183353 19.18364225830811,-96.15062455326726 19.20917560707184,-96.14269951882481 19.21773987409387,-96.1318848494574 19.21973903970213,-96.11451844190188 19.21152609689889,-96.11949662183353 19.18364225830811
Dunbar Harbor;GBDBR;-2.569154561546368 55.97938282689309,-2.569154561546368 56.025394705358735,-2.471304306186617 56.025394705358735,-2.471304306186617 55.97938282689309,-2.569154561546368 55.97938282689309
THANH HOA;VNTHO;106.7593667501942 10.78438941309994,106.7765615016115 10.79057243351764,106.7785069937245 10.77772847255066,106.7623994380128 10.77292238591599,106.7593667501942 10.78438941309994
Port of Hong Kong;HKHKG;113.9074590861373 22.38851141163569,113.9369863216832 22.38664016956459,114.1101113332275 22.37777119257426,114.1260327916953 22.35801970289042,114.2274618986701 22.31776678223417,114.1258613830152 22.35809111555794,114.1031714892117 22.35389333162431,114.1135283992728 22.31626178849561,114.1395152100754 22.32489163337014,114.1258897440403 22.35807262340595,114.2039815136537 22.43207413181734,114.2534199902162 22.42974692648184,114.2268897080501 22.31819025833737,114.26941309104 22.30515783119827,114.290470233916 22.24776019996821,114.2660657256216 22.17375455186382,114.1495648571595 22.15870499928974,114.0099469302527 22.15955289273239,113.9268628238074 22.24113994802808,113.9074590861373 22.38851141163569
Port Sihanoukville;KHSCH;103.49632086044929 10.641968698763108,103.5104829240479 10.668497012008814,103.52181257492683 10.66731615056672,103.5227499225136 10.64527714702622,103.49632086044929 10.641968698763108
Port of Hakata;JPHKT;130.411189625016 33.60094590723298,130.37960393165665 33.589077847098494,130.3567729685219 33.64525795386781,130.35917622779925 33.663833641466795,130.42921406959613 33.69540310670894,130.44498847003135 33.66798337661689,130.43148709117483 33.6430379255536,130.44086859698447 33.63397417047537,130.411189625016 33.60094590723298
Port of Mishima-Kawanoe;JPIYM;133.49498236475358 33.98218351867937,133.49498236475358 34.03991424187125,133.57759439313924 34.03991424187125,133.57759439313924 33.98218351867937,133.49498236475358 33.98218351867937
Port of Koko;NGKOK;5.423207354976797 5.97765087113853,5.423207354976797 6.023974421303097,5.478349804933288 6.023974421303097,5.478349804933288 5.97765087113853,5.423207354976797 5.97765087113853
Port of Dakhla;MAVIL;-15.94621229993098 23.674453476579128,-15.94621229993098 23.691798618294015,-15.923767286344265 23.691798618294015,-15.923767286344265 23.674453476579128,-15.94621229993098 23.674453476579128
Ako;JPAKO;134.356244600786 34.76096312706254,134.4039196506498 34.74429469285354,134.3909670118597 34.72172285292275,134.3552302438189 34.74057589908067,134.356244600786 34.76096312706254
Kashima;JPKSM;140.6946380608139 35.97376489913887,140.7281900648382 35.91071916233231,140.6858989628387 35.87392978296555,140.6425154473988 35.89946923340139,140.6503182448802 35.96163976831353,140.6946380608139 35.97376489913887
Port Freeport;USFPO;-95.35947170053792 28.91869718187949,-95.35947170053792 28.96491778017923,-95.29685274914567 28.96491778017923,-95.29685274914567 28.91869718187949,-95.35947170053792 28.91869718187949
Port of Kolomna;RUKLM;38.87745382468821 55.07373594089617,38.87745382468821 55.08524011723789,38.901350821900095 55.08524011723789,38.901350821900095 55.07373594089617,38.87745382468821 55.07373594089617
Port of Orth;DEORT;10.99951226457074 54.42937818070489,10.99951226457074 54.475401664948905,11.093630828930223 54.475401664948905,11.093630828930223 54.42937818070489,10.99951226457074 54.42937818070489
Port of Nanjing;CNNJI;118.6891258358482 32.08147999203797,118.7246025343883 32.14186926245624,118.752676309854 32.13156434525091,118.7407172356725 32.12322954025514,118.7266410027624 32.10539437757571,118.7154830132604 32.09259744722405,118.7027514576439 32.07779524835905,118.7231147884849 32.07229209213897,118.7240160107139 32.08455858387936,118.7274206297697 32.09721122227607,118.7331998943809 32.10571804560155,118.7448728680137 32.11967624363041,118.7647960449971 32.1268816084833,118.7773597836021 32.12219624340716,118.7482918044079 32.06547935661141,118.6891258358482 32.08147999203797
Marina Grande;ITMGE;14.22827194794471 40.54919566135632,14.2282296491936 40.56003056000714,14.24355042839634 40.55866118370261,14.25463689145144 40.55972625625077,14.25530269457059 40.54919566135632,14.22827194794471 40.54919566135632
Port of Ambarli;TRAMR;28.65399182114212 40.9558962963327,28.65227520737258 40.96419280769064,28.68549168381301 40.96950721224252,28.6862641600093 40.95764642848397,28.65399182114212 40.9558962963327
